neighborhood_id,week_start,crime_type,time_of_day,count
Bernal Heights,2019-01-01,all,all,31
Bernal Heights,2019-01-01,all,day,13
Bernal Heights,2019-01-01,all,night,18
Bernal Heights,2019-01-01,other,all,21
Bernal Heights,2019-01-01,other,day,10
Bernal Heights,2019-01-01,other,night,11
Bernal Heights,2019-01-01,property,all,8
Bernal Heights,2019-01-01,property,day,3
Bernal Heights,2019-01-01,property,night,5
Bernal Heights,2019-01-01,violent,all,2
Bernal Heights,2019-01-01,violent,night,2
Bernal Heights,2019-01-08,all,all,31
Bernal Heights,2019-01-08,all,day,17
Bernal Heights,2019-01-08,all,night,14
Bernal Heights,2019-01-08,other,all,19
Bernal Heights,2019-01-08,other,day,11
Bernal Heights,2019-01-08,other,night,8
Bernal Heights,2019-01-08,property,all,7
Bernal Heights,2019-01-08,property,day,5
Bernal Heights,2019-01-08,property,night,2
Bernal Heights,2019-01-08,violent,all,5
Bernal Heights,2019-01-08,violent,day,1
Bernal Heights,2019-01-08,violent,night,4
Bernal Heights,2019-01-15,all,all,20
Bernal Heights,2019-01-15,all,day,14
Bernal Heights,2019-01-15,all,night,6
Bernal Heights,2019-01-15,other,all,10
Bernal Heights,2019-01-15,other,day,7
Bernal Heights,2019-01-15,other,night,3
Bernal Heights,2019-01-15,property,all,7
Bernal Heights,2019-01-15,property,day,6
Bernal Heights,2019-01-15,property,night,1
Bernal Heights,2019-01-15,violent,all,3
Bernal Heights,2019-01-15,violent,day,1
Bernal Heights,2019-01-15,violent,night,2
Bernal Heights,2019-01-22,all,all,33
Bernal Heights,2019-01-22,all,day,24
Bernal Heights,2019-01-22,all,night,9
Bernal Heights,2019-01-22,other,all,24
Bernal Heights,2019-01-22,other,day,18
Bernal Heights,2019-01-22,other,night,6
Bernal Heights,2019-01-22,property,all,8
Bernal Heights,2019-01-22,property,day,5
Bernal Heights,2019-01-22,property,night,3
Bernal Heights,2019-01-22,violent,all,1
Bernal Heights,2019-01-22,violent,day,1
Bernal Heights,2019-01-29,all,all,20
Bernal Heights,2019-01-29,all,day,10
Bernal Heights,2019-01-29,all,night,10
Bernal Heights,2019-01-29,other,all,12
Bernal Heights,2019-01-29,other,day,7
Bernal Heights,2019-01-29,other,night,5
Bernal Heights,2019-01-29,property,all,6
Bernal Heights,2019-01-29,property,day,2
Bernal Heights,2019-01-29,property,night,4
Bernal Heights,2019-01-29,violent,all,2
Bernal Heights,2019-01-29,violent,day,1
Bernal Heights,2019-01-29,violent,night,1
Bernal Heights,2019-02-05,all,all,41
Bernal Heights,2019-02-05,all,day,22
Bernal Heights,2019-02-05,all,night,19
Bernal Heights,2019-02-05,other,all,21
Bernal Heights,2019-02-05,other,day,12
Bernal Heights,2019-02-05,other,night,9
Bernal Heights,2019-02-05,property,all,16
Bernal Heights,2019-02-05,property,day,9
Bernal Heights,2019-02-05,property,night,7
Bernal Heights,2019-02-05,violent,all,4
Bernal Heights,2019-02-05,violent,day,1
Bernal Heights,2019-02-05,violent,night,3
Bernal Heights,2019-02-12,all,all,31
Bernal Heights,2019-02-12,all,day,16
Bernal Heights,2019-02-12,all,night,15
Bernal Heights,2019-02-12,other,all,15
Bernal Heights,2019-02-12,other,day,6
Bernal Heights,2019-02-12,other,night,9
Bernal Heights,2019-02-12,property,all,15
Bernal Heights,2019-02-12,property,day,9
Bernal Heights,2019-02-12,property,night,6
Bernal Heights,2019-02-12,violent,all,1
Bernal Heights,2019-02-12,violent,day,1
Bernal Heights,2019-02-19,all,all,33
Bernal Heights,2019-02-19,all,day,24
Bernal Heights,2019-02-19,all,night,9
Bernal Heights,2019-02-19,other,all,17
Bernal Heights,2019-02-19,other,day,12
Bernal Heights,2019-02-19,other,night,5
Bernal Heights,2019-02-19,property,all,9
Bernal Heights,2019-02-19,property,day,7
Bernal Heights,2019-02-19,property,night,2
Bernal Heights,2019-02-19,violent,all,7
Bernal Heights,2019-02-19,violent,day,5
